Timestamp,CPU_Total%,Core0%,Core1%,Core2%,Core3%,Core4%,Core5%,Core6%,Core7%,Core8%,Core9%,Core10%,Core11%,Core12%,Core13%,Core14%,Core15%,Core16%,Core17%,Core18%,Core19%,Core20%,Core21%,Core22%,Core23%,Core24%,Core25%,Core26%,Core27%,Core28%,Core29%,Core30%,Core31%,GPU_3D%,GPU_Copy%,GPU_Decode%
2026-06-09 17:12:12,21.2,3.5,0.3,5,1.9,5,1.9,1.9,1.9,22.1,1.9,14.4,1.9,1.9,1.9,5,1.9,58,68.9,58,45.5,40.8,47.1,43.9,28.4,5,5,1.9,1.9,1.9,1.9,1.9,3.5,0.1,0,0
2026-06-09 17:12:18,31.4,18.3,1.4,27.6,1.4,10.6,0,13.7,1.4,87.7,1.4,52.2,1.4,9.1,1.4,15.2,1.4,67.6,72.3,69.2,78.4,63,61.5,63,52.2,33.7,43,22.9,18.3,19.9,7.5,1.4,1.4,0,0,0
2026-06-09 17:12:23,16.1,30.7,1.4,49.2,26.1,26.1,26.1,24.5,0,69.2,0,59.9,0,0,26.1,24.5,27.6,69.2,66.1,67.7,67.7,63,64.6,69.2,56.9,18.4,15.3,12.2,19.9,6,3,4.5,0,0.1,0,0
2026-06-09 17:12:29,11.4,10.7,0,15.3,0,7.6,0,12.2,0,52.3,0,43,0,4.5,18.4,7.6,0,38.4,58.4,60,52.3,23,19.9,21.5,10.7,6,6,0,0,0,0,0,0,0,0,0
2026-06-09 17:12:35,18.7,16.7,0,15.1,0,4.3,0,13.6,1.2,53.7,1.2,58.3,1.2,1.2,12,12,1.2,41.4,46,46,55.2,32.1,30.6,19.8,22.8,10.5,7.4,5.9,10.5,7.4,2.8,12,4.3,0.1,4.6,0
2026-06-09 17:12:41,20.8,6.9,0.7,5.4,2.3,5.4,0,3.8,0.7,36.4,8.5,39.5,6.9,0.7,6.9,2.3,0.7,25.5,59.7,51.9,47.3,20.9,24,10,8.5,2.3,2.3,0.7,0.7,0.7,0.7,0.7,2.3,0,0,0
