Timestamp,CPU_Total%,Core0%,Core1%,Core2%,Core3%,Core4%,Core5%,Core6%,Core7%,Core8%,Core9%,Core10%,Core11%,Core12%,Core13%,Core14%,Core15%,Core16%,Core17%,Core18%,Core19%,Core20%,Core21%,Core22%,Core23%,Core24%,Core25%,Core26%,Core27%,Core28%,Core29%,Core30%,Core31%,GPU_3D%,GPU_Copy%,GPU_Decode%
2026-06-09 18:46:35,11.9,5.2,0,2.3,0.8,2.3,5.2,2.3,0.8,0.8,21.5,23,0.8,2.3,0.8,0.8,0.8,37.8,18.6,17.1,5.2,3.8,2.3,0,0,0.8,0.8,0.8,0.8,37.8,65.9,51.1,71.9,0.6,0.5,0
2026-06-09 18:46:39,14.2,12.8,5.3,9.8,0,0.7,8.3,6.8,0,0,32.3,36.8,0,11.3,0,9.8,0,23.3,39.8,9.8,12.8,12.8,9.8,20.3,2.2,0.7,0,0,0,35.3,56.4,54.9,48.9,0.1,2,0
2026-06-09 18:46:43,10.8,2.8,25.6,0,0,2.8,5.9,4.3,0,24.1,28.6,25.6,16.5,10.4,0,10.4,0,5.9,21,4.3,1.3,0,0,0,0,0,0,0,0,22.6,59,52.9,43.8,0,0,0
2026-06-09 18:46:47,8.4,0.5,0,3.5,0,0.5,5,5,0,9.6,15.6,23.1,0,3.5,0,5,0,9.6,5,0,0,0,3.5,0.5,0,0.5,2,0,0,29.2,51.8,47.2,60.8,0.1,0,0
2026-06-09 18:46:51,22,18.8,0.5,21.9,0.5,20.4,0.5,26.5,0.5,60.2,0.5,58.7,0.5,20.4,0.5,20.4,0.5,26.5,34.2,31.1,21.9,15.8,8.1,14.2,12.7,0.5,3.5,2,2,57.1,69.4,83.2,72.4,0.2,1.8,0
